Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
ELYSIUM,"NO: 776/2, MATARA ROAD ,MIHIRIPENNA ,TALPE.",5,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.270811,5.998461
FAR HORIZONS VILLA,"FAR HORIZONS VILLA, UNAWATUNA KANDA, UNAWATUNA, GALLE",5,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,NULL
RAN DALU UYANA,"NO.370/8, COLOMBO ROAD, GORAKANA, KESELWATTA, MORATUWA",2,SUPERIOR,Kalutara,Moratuwa,Panadura Divisional Secretariat,NULL,NULL
RIVERINE COUNTRY HOUSE,"NO: 393 ,DUTUGEMUNU MAWATHE , MARWILMADU,KANDY",5,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
KANDA HOLIDAY BUNGALOW,"NO.104, PARADISE PARK, HANTANA, KANDY",3,SUPERIOR,Kandy,Gagawata Koralya,Gagawata,80.63132,7.279461
VILLA SAFIRA AYURVEDA RESIDENCE,"YALEGAMA, MIRISWATTE ROAD, GONAGALA, INDURUWA",4,DELUXE,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,NULL,NULL
PARADISE COTTAGE FINN BUNGALOWS,"NO.195 B/1, MEEWALADENIYA, HANDESSA",3,SUPERIOR,Kandy,Kandy,Ratmalana Divisional Secretariat,NULL,NULL
FIELD VILLA,"FIELD VIEW, KALAHE, WANCHAWELA, GALLE",4,DELUXE,Galle,Akmeemana,Akmeemana Divisional Secretariat,NULL,NULL
YALEGODA WALAUWA,"YALEGODA ESTATE, HANDESSA VIA PERADENIYA",4,DELUXE,Kandy,Udunuwara Pradeshiya Sabha,Udunuwara Divisional Secretariat,80.588479,7.24078
BAY BEACH BUNGALOW,"BAY BEACH HOTEL,GANDHI NAGAR,KUMBURUPITIYA,NILAVELI,TRINCOMALEE",5,SUPERIOR,Trincomalee,Kuchchaveli,Kuchchaveli Divisional Secretariat,81.172867,8.731013
RANMIN BELLAIR BUNGALOW,"BELLAIR ESTATE,PUWAKPITIYA",5,DELUXE,Colombo,Seethawaka Pradeshiya Sabha,Hanwella,NULL,NULL
OCEAN CREST,"NO:123,GALLE ROAD,AHANGAMA.",8,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.354672,5.975647
THE TEAK SHADE,"NO 200/19 MEEWALADENIYA, HANDESSA,GELI OYA, KANDY",2,DELUXE,Kandy,Kandy,Udunuwara Divisional Secretariat,NULL,NULL
NISALA VILLA,"108/6, HAPUGODA, AMBATENNA",3,DELUXE,Kandy,Harispattuwa Pradeshiya Sabha,Harispattuwa Divisional Secretariat,80.608337,7.349201
ECO LANKA VILLA,"MAUSSAWA ESTATE, HALPOLA, PUUDALUOYA",8,STANDARD,Nuwara Eliya,Nuwara Eliya,Kothmale Divisional Secretariat,80.64202,7.019245
SERENE HOLIDAY BANGALOW,"NO 17A, PIRIS WEDA MAWATHA, KALUWADUMULLA, AMBALANGODA",3,DELUXE,Galle,Ambalangoda,Ambalangoda Divisional Secretariat,NULL,NULL
THE COVE PASSIKUDAH,"NASSIVANTHWU, OFF WALACHCHENAI",4,DELUXE,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.539806,7.934389
CASA MIJA,"N0 37,GALLE ROAD,KAMBURUGAMUWA",5,DELUXE,Matara,Weligama Pradeshiya Sabha,Welimada Divisional Secretariat,80.618416,7.254844
THE FERN COVE VILLA,"465/4,LAKE ROAD,AKUREGODA,BATTARAMULLA.",5,DELUXE,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,NULL,NULL
LIYON REST,"4TH MAIL POST, SIGIRIYA",4,STANDARD,Matale,Matale,Dambulla Divisional Secretariat,NULL,NULL
THUSARE TALKING HANDS,"NO 103/12, DHARMAPALA MAWATHA, COLOMBO 07",2,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.857257,6.914122
SIGIRI ACCESS VILLA,"NO 90, SIGIRI ROAD, INAMALUWA",5,SUPERIOR,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,NULL,NULL
LAKMINI,"KAYANWALA, SIGIRIYA",5,STANDARD,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,NULL,NULL
SUNSHINE RESORTS,"NO 78, KOVIL ROAD,MASKELIYA.",4,STANDARD,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.571781,6.831458
42 LIGHT HOUSE STREET,"42, LIGHTHOUSE STREET, GALLE",4,DELUXE,Galle,Galle,Galle Divisional Secretariat,80.216417,6.027748
SAL ROCK FALLS,"376/5, ARANYA ROAD, SPRING HILL ESTATE, BOWALAWATTE, KANDY",4,SUPERIOR,Kandy,Gagawata Koralya,Kandy Divisional Secretariat,NULL,NULL
MOUNTAIN ROCK HOLIDAY RESORT,"NO.202/3,BOWELAWATTA,KANDY",2,SUPERIOR,Kandy,Gagawata Koralya,Kandy Divisional Secretariat,80.617917,7.260512
SUNTOP INN,"NO 18,POLICE ROAD,ELLA",4,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
FREEDOM GUEST INN,"132/1,SAPUMALTHANNA,PASSARA ROAD,ELLA",4,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
ROCK VIEW,"ROCK VIEW GUEST HOUSE,ELLA",5,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
SANROCK,"NO 9, RATHNAGIRI WATTA, ELLA",3,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
BACK OF BEYOND PIDURANGALA,"KURULU UYANA, TEMPLE ROAD, PIDURANGALA, SIGIRIYA",4,SUPERIOR,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.763529,7.969325
BACK OF BEYOND DEHIGAHA ELA,"ALAKOLAWEWA, DEHIGAHA ELA, SIGIRIYA",4,DELUXE,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.787916,7.914324
THE NEW LAND GUEST,"283,MAIN ROAD,KALKUDAH.",8,STANDARD,Batticaloa,Koralai Pattu,Koralai Pattu Divisional Secretariat,81.553927,7.897904
KANDANA REST,"117/A/4(27), DE MAZENOD COLLEGE ROAD, HAPUGODA, KANDANA",2,STANDARD,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,NULL,NULL
SIMLA INN,"PASSIKUDAH ROAD, KALKUDAH",8,STANDARD,Batticaloa,Batticaloa,Valaichchenai Divisional Secretariat,81.554464,7.920843
NEW REST INN,"PASSIKUDAH ROAD, KALKUDAH",4,STANDARD,Batticaloa,Batticaloa,Valaichchenai Divisional Secretariat,NULL,NULL
WHITE HOUSE FAMILY STAY,"GREEN VILLAGE, WELAGANE, MASPOTHA,KURUNEGALA",3,DELUXE,Kurunegala,Kurunegala,Maspotha Divisional Secretariat,NULL,NULL
BLUE WATER VILLA,"318, DAMPE ROAD, PILIYANDALA",5,DELUXE,Colombo,Kesbewa,Kesbewa Divisional Secretariat,79.913509,6.785133
TROPICAL RETREAT,"NO 182, HEENATIGALA ROAD, UNAWATUNA, GALLE",5,DELUXE,Galle,Akmeemana,Akmeemana Divisional Secretariat,80.254688,6.020797
UVA BEN HEAD PLANTATION (LOWER) BUNGALOW,"UVA BEN HEAD ESTATE, WELIMADA",4,DELUXE,Badulla,Welimada Pradeshiya Sabha,Welimada Divisional Secretariat,NULL,NULL
PLANTERS BUNGALOW,"10 MILE POST, UVA- KARADAGOLLA, ELLA",6,DELUXE,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.07644,6.831055
AMBASEWANA MANSION,"NO 05, THOTAMUNA ROAD, THOTAMUNA, MATARA",4,DELUXE,Matara,Matara,Matara Divisional Secretariat,80.541717,5.944455
SCOTTISH PLANTER GLENDEVON BUNGALOW,"RAGALA, HALGRAN OYA",4,DELUXE,Nuwara Eliya,Nuwara Eliya,Walapane Divisional Secretariat,NULL,NULL
LESPRI GRAND,"35, KIMBULAPITIYA ROAD, THELWATHTHA JUNCTION, NEGOMBO",8,DELUXE,Gampaha,Negombo,Negombo Divisional Secretariat,NULL,NULL
THE FERN COVE,"270/4, MEEPILIMANA, NUWARAELIYA",4,SUPERIOR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,NULL,NULL
GREEN VIEW GUEST,"GREEN VIEW GUEST,ELLA.",6,STANDARD,Badulla,Bandarawela Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
BUNGALOW 1926,"NO.20, CROSS STREET, NUWARA ELIYA",3,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.76542,6.977103
P.G.C. RESIDENCE,"271, ELAGOLLA WATTA, HEERASSAGALA, KANDY",5,DELUXE,Kandy,Gagawata Koralya,Gagawata,80.619967,7.268558
SUBASHRI,"SUBASHRI, QUAILS RIDGE, VICTORIA GOLF & COUNTRY RESORT, DIGANA, KANDY",4,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.765034,7.267648
BELLA CASA,"9/2, 4TH LANE, RATMALANA",3,STANDARD,Colombo,Dehiwala-Mount Lavinia,Ratmalana Divisional Secretariat,79.878536,6.817599
ELADETTA WALAUWA,"ELADETTA ESTATE, HANDESSA, KANDY",5,DELUXE,Kandy,Udunuwara Pradeshiya Sabha,Kandy Divisional Secretariat,80.578203,7.21801
RIVER EDGE BUNGALOW,"WARAPITIYA ROAD,KATUDENIYA,MATALE",3,SUPERIOR,Matale,Matale,Rattota Divisional Secretariat,80.644202,7.430442
VISAL BUNGALOWS,"1/116, LAKE SIDE AVENUE, VICTORIYA RANGE, KENGALLA",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
VISAL BUNGALOWS,"2/259, LOTUS AVENUE, VICTORIA RANGE, KENGALLA",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,80.729544,7.287538
N AND N VILLA,"246, LOTUS VICTORIA AVENUE, KENGALLA",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
ROBERT RESIDENCE,"NO. 12/7, ROBERT GUNAWARDENA MAWATHA, COLOMBO 06",3,SUPERIOR,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.876095,6.877735
CASSIA HILL,"WERAHERAWATTA,MEEPE,HABARADUWA,GALLE.",4,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.289822,6.018153
GIRIULLA MAOYA ELEPHANT VILLA,"UDARA STATE, MASNORUWA, GIRIULLA",3,SUPERIOR,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,80.150604,7.192303
DEEP BLUE,"39/3, POLHENA ROAD, POLHENA, MATARA",5,SUPERIOR,Matara,Matara,Matara Divisional Secretariat,80.525786,5.940061
RIVERS EDGE,"NO:11, PANAPITIYA, KARANDENIYA",3,SUPERIOR,Galle,MC,Karandeniya Divisional Secretariat,NULL,NULL
EAGAL'S NEST,"BUONA VISTA, UNAWATUNA, GALLE",4,SUPERIOR,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.241193,6.021211
BENI BEACH RESORT,"NO.5/8A,8TH CROSS, THIRUCHENTHUR ROAD,KALLADY,BATTICALOA.",4,STANDARD,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.713547,7.721915
OLIVE GREEN RESORT,"NO.96,NEW DUTCH BAR ROAD,KALLADY,BATTICALOA.",4,STANDARD,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.712474,7.723162
BONGO STAY,"11, BOYD PLACE, COLOMBO 03",5,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.85455,6.913767
CHAMELIA,"WATTAHERIYA WATTA,BALLAKETUWA ROAD,ELLA",5,SUPERIOR,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
LA- MONTANA RESORT,"""DISNA""KITHAL-ELLA,ELLA",3,SUPERIOR,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
VILLA RAHA,"33, MCLEOD ROAD, BAMBALAPITIYA, COLOMBO 04",7,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.860711,6.884798
ANYAA LIFESTYLE,"HELENA MAWATHA, WENNAPUWA.",4,SUPERIOR,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,79.839299,7.337334
PLANTAGE,"PALLIWASAL PADUWA, KOTTANTIVE",4,STANDARD,Puttalam,Kalpitiya Pradeshiya Sabha,Mundalama Divisional Secretariat,NULL,NULL
TASKANS VILLA,"30/17,CROCKTAIN MAWATHA, HEKITHTHA, WATTALA",5,DELUXE,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,NULL,NULL
HOTEL SISIL THERA,"NO:558/A, D.S SENANAYAKE MAWATHA, STAGE TOWN, ANURADHAPURA",4,STANDARD,Anuradhapura,Anuradhapura,Anuradhapura East,80.396271,8.319266
VILLA VISTA,"MIHIRI KANDA WATTA, HENWALA, MIRISSA",4,DELUXE,Matara,Weligama,Weligama Divisional Secretariat,NULL,NULL
HAGGAI TOURIST BUNGALOW,"NO 20, HALGASWATTE LANE, KIRULAPONE, COLOMBO 06",5,DELUXE,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,NULL,NULL
GULANAHENA TEA ESTATE BUNGALOW,"GULANAHENA TEA ESTATE,NILGAHAHENA,THINIYAWALA",3,STANDARD,Kalutara,Palindanuwara Pradeshiya Sabha,Palindanuwara Divisional Secretariat,80.321286,6.404352
KORAGAHA LODGE,"23, KORAGAHA ULPATHA, RANAKELIYA, TISSAMAHARAMA",4,DELUXE,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.332646,6.239433
THISARA HOLIDAY BUNGALOW,"NO83,CONTINENTAL RESIDENSIES,ADNEWS ROAD,PERIYAMULLA,NEGAMBO",4,DELUXE,Gampaha,Negombo,Gampaha Divisional Secretariat,NULL,NULL
KURULU ESTATE,"KURUNDU WATTHA, NAGASPOLA,RAKWANA",2,STANDARD,Ratnapura,Ratnapura,Godakawela Divisional Secretariat,80.643837,6.502264
STAFFORD BUNGALOW,"HALGRANOYA,RAGALA",4,DELUXE,Nuwara Eliya,Nuwara Eliya,Walapane Divisional Secretariat,80.857195,7.011928
SANCHAREE MOUNTAIN VIEW BUNGALOW,"SANASA HOLIDAY RESORT, NO. 495, KANDY ROAD, TOP PASS, NUWARA ELIYA",5,SUPERIOR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.748229,6.990895
NERALU UYANA VILLAS,"NERALU UYANA ESTATE, NARAWALA, THALGASYAYA, AKMEEMANA, GALLE",1,STANDARD,Galle,Akmeemana,Akmeemana Divisional Secretariat,80.243823,6.099019
VILLA SUKUM,"18, QUAILS RIDGE, VICTORIA GOLF CLUB,DIGANE",6,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.7742644,7.2650791
SKY TERRACE KANDY,20/4 A.B DAMUNUPOLA MAWATHA KANDY,6,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
HAWALLI VILLA,"492/2, PERADENIYA ROAD, KANDY",2,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,80.621635,7.282176
COZY NEST,"9, UPPER DICKSON ROAD, GALLE",2,DELUXE,Galle,Galle,Galle Divisional Secretariat,80.218819,6.038124
PITTANIYA VILLA,"37/14, DAMRUWAN MAWATHA, MIHIRIPENNA, THALPE, GALLE",3,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.27095,6.001739
WELIGAMA GEDARA,"NO 5/6, BANDARANAYAKA MAWATHA, HETTIWEEDIYA, WELIGAMA",3,STANDARD,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.428849,5.977378
APPAS BREEZY HOME STAY,"15, PUTHU MUGATHUWARAM,BATTICALOA",2,STANDARD,Batticaloa,Batticaloa,Manmunai North Divisional Secretariat,81.67473,7.730997
HOTEL TOBIKO,"NO 24, MURUGAPURI ROAD, UPPUVELI, TRINCOMALEE",4,SUPERIOR,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.219524,8.601562
SAFE HEAVEN FAMILY VILLA,"29/248 SHANTHA KUMAR RANASINGHE MW, AMPITIYA RD, KANDY",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,80.651097,7.283451
SPD BUNGALOW "WATAWALA LASSANA","MISTY RANGES, HATTON ROAD, WATAWALA.",5,STANDARD,Nuwara Eliya,Ginigathhena,Ambagamuwa Divisional Secretariat,80.546785,6.9323964
VILLA KANCHANA,"WELIKADE,MUHUDU MAWATHA,THALARAMBE,KAMBURUGAMUWA,MATARA",5,DELUXE,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.493827,5.948646
VILLA SEVEN,"NO:07(332/1),JUBILEE LANE,WALANA,PANADURA",3,SUPERIOR,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.905723,6.730944
SERENE VILLA,"245/55 BATUGEDARA MAIN ROAD,RATNAPURA",4,SUPERIOR,Ratnapura,Ratnapura,Ratnapura Divisional Secretariat,80.417443,6.675483
SP TOURS AND REST,"NO:873, HOSPITAL ROAD, JAFFNA",5,STANDARD,Jaffna,Jaffna,Jaffna Divisional Secretariat,80.009362,9.667259
MARGOSA,"STATION ROAD, URELU NORTH, CHUNNAKAM, JAFFNA",5,DELUXE,Jaffna,Jaffna,Jaffna Divisional Secretariat,80.033083,9.746404
PERERA HOME,"133, 16TH LANE,LAKE CITY HOME, JA ELA",3,SUPERIOR,Gampaha,Gampaha,Ja-Ela Divisional Secretariat,80.031847,7.166809
RANNA HOUSE BY FOX RESORT,"NO 2 MODARA ROAD,KAHADAMODARA,RANNA,TANGALLE.",3,DELUXE,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,80.895067,6.063352
AMBANWALA TOURIST BUNGALOW,"NO 56 AMBANWALA WALAWWA,AMBANWALA,WELAMBODA",4,STANDARD,Kandy,Uhana Pradeshiya Sabha,Udunuwara Divisional Secretariat,80.544006,7.216776
SIHINAYA VILLA,"273,KAPPARATOTA ROAD, KAPPARATOTA,WELIGAMA.",4,DELUXE,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.41658,5.958281
RIVERSIDE SUITES,"52 DUTUGEMUNU MAWATHA, LEWELLA, KANDY",4,DELUXE,Kandy,Kandy,Kundasale Divisional Secretariat,80.651649,7.302483
SAKURA HANA,"NO/34,,PATHMINI PERIS MAWATHA,ALUTHGAMA",3,SUPERIOR,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,79.99749,6.428556
HOME FROM HOME,"NO 42/2,RUPASIRI MAWATHA,MIRIHANA NUGEGODA",3,DELUXE,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,79.899679,6.864908
MOUNTAIN VILLA RIVERSTON,"PITAWALA,ILLUKKUMBURA,MATALE",3,DELUXE,Matale,Matale,Laggala-Pallegama Divisional Secretariat,80.753128,7.547738
KAYJAY BEACH HOUSE,"OLD PASSIKUDHA ROAD,PASSIKUDHA",6,SUPERIOR,Batticaloa,Kalkudha,Valaichchenai Divisional Secretariat,81.569541,7.919074
HEAVEN BY O,"24/4,YADDEHIMULLA ROAD, UNAWATUNA,GALLE",8,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.244031,6.010155
ANGEL TOWER,"NO 78/8A ,2ND LANE, HEERASSAGALA, KANDY,HEERASSAGALA ROAD,KANDY",4,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,80.633726,7.290572
ROBI GARDEN VILLA,"108,KATANA ROAD,THIMBIRIGASKATUWA, NEGAMBO, SRI-LANKA",4,DELUXE,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,79.858999,7.228002
MADUSANKA HOLYDAY HOME,"NO 15, DIGANA, RAJAWELLA,,",8,STANDARD,Kandy,Kundasle,Kundasale Divisional Secretariat,80.735452,7.296389
PEACE HAVEN RESORTS LIMITED,"GOYAMBOKKA, TANGALLE.",3,DELUXE,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,NULL,NULL
FRENCH LOTUS,"YADDEHIMULLA ROAD,,UNAWATUNA BEACH,,GALLE.",5,DELUXE,Galle,Habaraduwa,Galle Divisional Secretariat,80.242874,6.010178
MONERATENNA,"BACK OF BEYOND,WARNAKULASURIYA MAWATHA,KAHANDAMODARA,RANNA.",7,DELUXE,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,80.891513,6.069909
JOYOUS COTTAGE,"NO:62,NEELAMMAHARA ROAD, MAHARAGAMA",6,DELUXE,Colombo,Maharagama,Maharagama Divisional Secretariat,79.926314,6.837627
POKKULUWA TEA COTTAGE,"POKKULUWA TEA COTTAGE,POKKULUWA ESTATE,HAPPAWANA WANCHAWALA 80120 GALLE",2,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,NULL
AVI GIL VILLAS PRIVATE LIMITED,"THE NUGA HOUSE,WELI ROAD, KABALANA, AHANGAMA,GALLE",6,SUPERIOR,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,NULL
TARU VILLAS-RIVER COTTAGE,"111,BENTOTA CIRCULAR ROAD, BENTOTA 80500",2,DELUXE,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.005979,6.418918
